split,machine,config,auc_source,auc_target,pauc,balance_ks
dev,valve,conf-soft-m0-k1,60.48,47.3,52.47,0.4004
dev,valve,conf-soft-m10-k1,61.46,47.02,52.47,0.4206
dev,valve,conf-soft-m30-k1,62.08,46.84,52.53,0.424
dev,valve,conf-soft-m100-k1,62.36,46.56,52.53,0.4246
dev,valve,conf-soft-m300-k1,62.4,46.58,52.53,0.4259
dev,valve,ratio-soft-k1,61.1,46.96,52.42,0.417
dev,valve,zscore-soft-k1,58.52,47.08,52.53,0.3911
dev,valve,conf-hard-m0-k1,60.98,46.4,52.53,0.3903
dev,valve,conf-hard-m10-k1,61.84,46.34,52.53,0.4162
dev,valve,conf-hard-m30-k1,62.22,46.34,52.53,0.4226
dev,valve,conf-hard-m100-k1,62.4,46.5,52.53,0.4248
dev,valve,conf-hard-m300-k1,62.46,46.54,52.53,0.4248
dev,valve,ratio-hard-k1,61.38,46.3,52.53,0.404
dev,valve,zscore-hard-k1,59.64,46.3,52.53,0.378
dev,valve,raw-k2,60.88,46.02,52.53,0.3842
dev,valve,conf-soft-m0-k2,59.36,46.9,52.53,0.3697
dev,valve,conf-soft-m10-k2,60.06,46.52,52.53,0.3794
dev,valve,conf-soft-m30-k2,60.48,46.36,52.47,0.3816
dev,valve,conf-soft-m100-k2,60.68,46.26,52.47,0.3826
dev,valve,conf-soft-m300-k2,60.72,46.12,52.47,0.3838
dev,valve,ratio-soft-k2,59.7,46.38,52.42,0.3764
dev,valve,zscore-soft-k2,57.52,47.02,52.74,0.3669
dev,valve,conf-hard-m0-k2,59.66,46.1,52.53,0.3622
dev,valve,conf-hard-m10-k2,60.36,46.02,52.53,0.3778
dev,valve,conf-hard-m30-k2,60.6,46.04,52.53,0.3808
dev,valve,conf-hard-m100-k2,60.8,46.14,52.53,0.3822
dev,valve,conf-hard-m300-k2,60.86,46.1,52.53,0.383
dev,valve,ratio-hard-k2,60.1,46.0,52.53,0.3695
dev,valve,zscore-hard-k2,58.22,46.02,52.53,0.3503
dev,valve,raw-k4,59.24,46.18,52.47,0.359
dev,valve,conf-soft-m0-k4,58.1,46.82,52.79,0.3558
dev,valve,conf-soft-m10-k4,58.6,46.52,52.42,0.358
dev,valve,conf-soft-m30-k4,58.9,46.4,52.47,0.3578
dev,valve,conf-soft-m100-k4,59.04,46.34,52.47,0.3586
dev,valve,conf-soft-m300-k4,59.14,46.32,52.47,0.359
dev,valve,ratio-soft-k4,58.38,46.28,52.58,0.359
dev,valve,zscore-soft-k4,56.82,47.04,52.63,0.3655
dev,valve,conf-hard-m0-k4,58.16,46.34,52.47,0.3562
dev,valve,conf-hard-m10-k4,58.82,46.2,52.47,0.3594
dev,valve,conf-hard-m30-k4,59.02,46.18,52.47,0.3594
dev,valve,conf-hard-m100-k4,59.14,46.22,52.47,0.359
dev,valve,conf-hard-m300-k4,59.2,46.24,52.47,0.359
dev,valve,ratio-hard-k4,58.8,46.14,52.47,0.3588
dev,valve,zscore-hard-k4,56.7,46.34,52.47,0.3471
dev,valve,ldn-ratio-K1,62.12,59.76,53.79,0.3378
dev,valve,ldn-ratio-K16,59.26,52.06,52.21,0.2881
dev,valve,ldn-diff-K1,60.18,59.74,52.53,0.3521
dev,valve,ldn-diff-K16,57.86,53.22,50.95,0.4232
dev,valve,conf-soft-m0-ldnK1,62.2,59.54,53.74,0.3343
dev,valve,conf-soft-m30-ldnK1,62.24,59.48,53.74,0.3325
eval,Vacuum,raw-k1,94.88,65.46,59.95,0.9543
eval,Vacuum,conf-soft-m0-k1,82.44,88.32,66.79,0.4739
eval,Vacuum,conf-soft-m10-k1,88.5,86.1,65.32,0.7281
eval,Vacuum,conf-soft-m30-k1,92.36,83.26,65.68,0.8525
eval,Vacuum,conf-soft-m100-k1,93.92,77.3,64.84,0.9188
eval,Vacuum,conf-soft-m300-k1,94.48,72.16,64.79,0.938
eval,Vacuum,ratio-soft-k1,84.26,87.34,66.05,0.5335
eval,Vacuum,zscore-soft-k1,87.8,84.52,64.47,0.5451
eval,Vacuum,conf-hard-m0-k1,82.44,88.32,66.79,0.4739
eval,Vacuum,conf-hard-m10-k1,88.5,86.1,65.32,0.7281
eval,Vacuum,conf-hard-m30-k1,92.36,83.26,65.68,0.8525
eval,Vacuum,conf-hard-m100-k1,93.92,77.3,64.84,0.9188
eval,Vacuum,conf-hard-m300-k1,94.48,72.16,64.79,0.938
eval,Vacuum,ratio-hard-k1,84.26,87.34,66.05,0.5335
eval,Vacuum,zscore-hard-k1,87.8,84.52,64.47,0.5451
eval,Vacuum,raw-k2,92.94,61.84,59.26,0.9881
eval,Vacuum,conf-soft-m0-k2,80.88,89.1,66.95,0.5321
eval,Vacuum,conf-soft-m10-k2,87.82,86.94,65.11,0.7402
eval,Vacuum,conf-soft-m30-k2,91.16,82.92,64.68,0.877
eval,Vacuum,conf-soft-m100-k2,92.3,76.36,63.68,0.94
eval,Vacuum,conf-soft-m300-k2,92.82,69.88,63.84,0.9711
eval,Vacuum,ratio-soft-k2,82.98,88.5,66.26,0.6562
eval,Vacuum,zscore-soft-k2,85.7,85.08,63.32,0.6885
eval,Vacuum,conf-hard-m0-k2,80.88,89.1,66.95,0.5321
eval,Vacuum,conf-hard-m10-k2,87.82,86.94,65.11,0.7402
eval,Vacuum,conf-hard-m30-k2,91.16,82.92,64.68,0.877
eval,Vacuum,conf-hard-m100-k2,92.3,76.36,63.68,0.94
